hksllex_id,english,project_label_guess,written_chinese_hk,cantonese,disambiguation_english,disambiguation_chinese,media_ref,source
HKSLLEX-2023-00000032,three,three,三,三,,,"{'name': 'HKSLLEX-2023-00000032.mp4', 'duration': '', 'fileExtension': 'mp4', 'supplementary': '', 'nameOSF': 'HKSLLEX-2023-00000032-Three.mp4', 'nameGIF': 'HKSLLEX-2023-00000032-Three.webp'}",HKU-HKSLLEX
HKSLLEX-2023-00000076,eat,eat,吃,食,,,"{'name': 'HKSLLEX-2023-00000076.mp4', 'duration': '', 'fileExtension': 'mp4', 'supplementary': '', 'nameOSF': 'HKSLLEX-2023-00000076-Eat.mp4', 'nameGIF': 'HKSLLEX-2023-00000076-Eat.webp'}",HKU-HKSLLEX
HKSLLEX-2023-00000082,drink,drink,喝,飲,,,"{'name': 'HKSLLEX-2023-00000082.mp4', 'duration': '', 'fileExtension': 'mp4', 'supplementary': '', 'nameOSF': 'HKSLLEX-2023-00000082-Drink.mp4', 'nameGIF': 'HKSLLEX-2023-00000082-Drink.webp'}",HKU-HKSLLEX
HKSLLEX-2023-00000210,and,and,並且,同埋,,,"{'name': 'HKSLLEX-2023-00000210.mp4', 'duration': '', 'fileExtension': 'mp4', 'supplementary': '', 'nameOSF': 'HKSLLEX-2023-00000210-And.mp4', 'nameGIF': 'HKSLLEX-2023-00000210-And.webp'}",HKU-HKSLLEX
HKSLLEX-2023-00000253,four,four,四,四,,,"{'name': 'HKSLLEX-2023-00000253.mp4', 'duration': '', 'fileExtension': 'mp4', 'supplementary': '', 'nameOSF': 'HKSLLEX-2023-00000253-Four.mp4', 'nameGIF': 'HKSLLEX-2023-00000253-Four.webp'}",HKU-HKSLLEX
HKSLLEX-2023-00000313,two,two,二,二,,,"{'name': 'HKSLLEX-2023-00000313.mp4', 'duration': '', 'fileExtension': 'mp4', 'supplementary': '', 'nameOSF': 'HKSLLEX-2023-00000313-Two.mp4', 'nameGIF': 'HKSLLEX-2023-00000313-Two.webp'}",HKU-HKSLLEX
HKSLLEX-2023-00000457,thank you,thank_you,謝謝,謝謝,,,"{'name': 'HKSLLEX-2023-00000457.mp4', 'duration': '', 'fileExtension': 'mp4', 'supplementary': '', 'nameOSF': 'HKSLLEX-2023-00000457-Thankyou.mp4', 'nameGIF': 'HKSLLEX-2023-00000457-Thankyou.webp'}",HKU-HKSLLEX
HKSLLEX-2023-00000555,water,water,水,水,,,"{'name': 'HKSLLEX-2023-00000555.mp4', 'duration': '', 'fileExtension': 'mp4', 'supplementary': '', 'nameOSF': 'HKSLLEX-2023-00000555-Water.mp4', 'nameGIF': 'HKSLLEX-2023-00000555-Water.webp'}",HKU-HKSLLEX
HKSLLEX-2023-00000730,rice,rice,飯,飯,,,"{'name': 'HKSLLEX-2023-00000730.mp4', 'duration': '', 'fileExtension': 'mp4', 'supplementary': '', 'nameOSF': 'HKSLLEX-2023-00000730-Rice.mp4', 'nameGIF': 'HKSLLEX-2023-00000730-Rice.webp'}",HKU-HKSLLEX
HKSLLEX-2023-00000860,want,want,想,想,,,"{'name': 'HKSLLEX-2023-00000860.mp4', 'duration': '', 'fileExtension': 'mp4', 'supplementary': '', 'nameOSF': 'HKSLLEX-2023-00000860-Want.mp4', 'nameGIF': 'HKSLLEX-2023-00000860-Want.webp'}",HKU-HKSLLEX
HKSLLEX-2023-00000972,hamburger,hamburger,漢堡包,漢堡包,,,"{'name': 'HKSLLEX-2023-00000972.mp4', 'duration': '', 'fileExtension': 'mp4', 'supplementary': '', 'nameOSF': 'HKSLLEX-2023-00000972-Hamburger.mp4', 'nameGIF': 'HKSLLEX-2023-00000972-Hamburger.webp'}",HKU-HKSLLEX
HKSLLEX-2023-00001100,tea,tea,茶,茶,,,"{'name': 'HKSLLEX-2023-00001100.mp4', 'duration': '', 'fileExtension': 'mp4', 'supplementary': '', 'nameOSF': 'HKSLLEX-2023-00001100-Tea.mp4', 'nameGIF': 'HKSLLEX-2023-00001100-Tea.webp'}",HKU-HKSLLEX
HKSLLEX-2023-00001166,table,table,桌子,枱,,,"{'name': 'HKSLLEX-2023-00001166.mp4', 'duration': '', 'fileExtension': 'mp4', 'supplementary': '', 'nameOSF': 'HKSLLEX-2023-00001166-Table.mp4', 'nameGIF': 'HKSLLEX-2023-00001166-Table.webp'}",HKU-HKSLLEX
HKSLLEX-2023-00001321,with,with,和,和,,,"{'name': 'HKSLLEX-2023-00001321.mp4', 'duration': '', 'fileExtension': 'mp4', 'supplementary': '', 'nameOSF': 'HKSLLEX-2023-00001321-With.mp4', 'nameGIF': 'HKSLLEX-2023-00001321-With.webp'}",HKU-HKSLLEX
HKSLLEX-2023-00001952,one,one,一,一,,,"{'name': 'HKSLLEX-2023-00001952.mp4', 'duration': '', 'fileExtension': 'mp4', 'supplementary': '', 'nameOSF': 'HKSLLEX-2023-00001952-One.mp4', 'nameGIF': 'HKSLLEX-2023-00001952-One.webp'}",HKU-HKSLLEX
HKSLLEX-2023-00003484,cola,cola,可樂,,,,"{'name': 'HKSLLEX-2023-00003484.mp4', 'duration': '', 'fileExtension': 'mp4', 'supplementary': '', 'nameOSF': 'HKSLLEX-2023-00003484-Cola.mp4', 'nameGIF': 'HKSLLEX-2023-00003484-Cola.webp'}",HKU-HKSLLEX
